Country,Year,Title,Status,Availability,Node ID,Assessment Page URL,Suggested Filename
Afghanistan,2018,Afghanistan 2018,Final,Public,486,https://www.pefa.org/node/486,PEFA 2018 Afghanistan.pdf
Albania,2025,Albania 2024,Final,Public,5333,https://www.pefa.org/node/5333,PEFA 2025 Albania.pdf
Algeria,2017,Algeria 2017,Final,Non-public,676,https://www.pefa.org/node/676,PEFA 2017 Algeria.pdf
Angola,2022,Angola 2022,Final,Non-public,5052,https://www.pefa.org/node/5052,PEFA 2022 Angola.pdf
Anguilla,2020,Anguilla 2020,Final,Non-public,3981,https://www.pefa.org/node/3981,PEFA 2020 Anguilla.pdf
Antigua and Barbuda,2014,Antigua and Barbuda 2014,Final,Public,1716,https://www.pefa.org/node/1716,PEFA 2014 Antigua and Barbuda.pdf
Argentina,2019,Argentina 2019,Final,Public,3671,https://www.pefa.org/node/3671,PEFA 2019 Argentina.pdf
Armenia,2024,Armenia 2024,Final,Public,5237,https://www.pefa.org/node/5237,PEFA 2024 Armenia.pdf
Aruba,2008,Aruba 2008,Final,Non-public,2231,https://www.pefa.org/node/2231,PEFA 2008 Aruba.pdf
Azerbaijan,2014,Azerbaijan 2014,Final,Public,1346,https://www.pefa.org/node/1346,PEFA 2014 Azerbaijan.pdf
Bangladesh,2023,Bangladesh 2023,Final,Public,5087,https://www.pefa.org/node/5087,PEFA 2023 Bangladesh.pdf
Barbados,2013,Barbados 2013,Draft,Non-public,1231,https://www.pefa.org/node/1231,PEFA 2013 Barbados.pdf
Belarus,2014,Belarus 2014,Final,Public,1166,https://www.pefa.org/node/1166,PEFA 2014 Belarus.pdf
Belize,2014,Belize 2014,Final,Public,1326,https://www.pefa.org/node/1326,PEFA 2014 Belize.pdf
Benin,2014,Benin 2014,Final,Public,1366,https://www.pefa.org/node/1366,PEFA 2014 Benin.pdf
Bhutan,2023,Bhutan 2023,Final,Public,5111,https://www.pefa.org/node/5111,PEFA 2023 Bhutan.pdf
Bolivia,2025,Bolivia 2025,Final,Public,5527,https://www.pefa.org/node/5527,PEFA 2025 Bolivia.pdf
Bosnia and Herzegovina,2023,Bosnia and Herzegovina BiH 2023,Final,Public,5183,https://www.pefa.org/node/5183,PEFA 2023 Bosnia and Herzegovina.pdf
Botswana,2020,Botswana 2020,Final,Public,241,https://www.pefa.org/node/241,PEFA 2020 Botswana.pdf
Brazil,2009,Brazil 2009,Final,Public,2511,https://www.pefa.org/node/2511,PEFA 2009 Brazil.pdf
Burkina Faso,2025,Burkina Faso 2025,Draft,Non-public,5144,https://www.pefa.org/node/5144,PEFA 2025 Burkina Faso.pdf
Burundi,2023,Burundi 2023,Final,Public,5281,https://www.pefa.org/node/5281,PEFA 2023 Burundi.pdf
Cabo Verde,2016,Cabo Verde 2015,Final,Public,836,https://www.pefa.org/node/836,PEFA 2016 Cabo Verde.pdf
Cambodia,2022,Cambodia 2022,Final,Public,4231,https://www.pefa.org/node/4231,PEFA 2022 Cambodia.pdf
Cameroon,2023,Cameroon 2023,Final,Public,5261,https://www.pefa.org/node/5261,PEFA 2023 Cameroon.pdf
Central African Republic,2023,Central African Republic 2023,Final,Non-public,5186,https://www.pefa.org/node/5186,PEFA 2023 Central African Republic.pdf
Chad,2018,Chad 2018,Final,Public,491,https://www.pefa.org/node/491,PEFA 2018 Chad.pdf
Colombia,2024,Colombia 2024,Final,Public,5276,https://www.pefa.org/node/5276,PEFA 2024 Colombia.pdf
Comoros,2016,Comoros 2016,Final,Public,721,https://www.pefa.org/node/721,PEFA 2016 Comoros.pdf
Cook Islands,2021,Cook Islands 2021 AGILE REPORT,Final,Public,4957,https://www.pefa.org/node/4957,PEFA 2021 Cook Islands.pdf
Costa Rica,2022,Costa Rica 2022,Final,Public,5142,https://www.pefa.org/node/5142,PEFA 2022 Costa Rica.pdf
Cote d'Ivoire,2026,Cote d'Ivoire 2026,Final,Non-public,5368,https://www.pefa.org/node/5368,PEFA 2026 Cote d'Ivoire.pdf
Democratic Republic of Congo,2024,Democratic Republic of Congo 2024,Draft,Non-public,5301,https://www.pefa.org/node/5301,PEFA 2024 Democratic Republic of Congo.pdf
Djibouti,2023,Djibouti 2023,Final,Public,4156,https://www.pefa.org/node/4156,PEFA 2023 Djibouti.pdf
Dominica,2016,Dominica 2016,Final,Non-public,681,https://www.pefa.org/node/681,PEFA 2016 Dominica.pdf
Dominican Republic,2022,Dominican Republic 2022,Final,Public,5128,https://www.pefa.org/node/5128,PEFA 2022 Dominican Republic.pdf
Ecuador,2019,Ecuador 2019,Final,Non-public,296,https://www.pefa.org/node/296,PEFA 2019 Ecuador.pdf
Egypt,2009,Egypt 2009,Final,Non-public,2026,https://www.pefa.org/node/2026,PEFA 2009 Egypt.pdf
El Salvador,2019,El Salvador 2019,Final,Public,206,https://www.pefa.org/node/206,PEFA 2019 El Salvador.pdf
Eswatini,2011,Eswatini 2011,Final,Public,2126,https://www.pefa.org/node/2126,PEFA 2011 Eswatini.pdf
Ethiopia,2019,Ethiopia 2019,Final,Public,161,https://www.pefa.org/node/161,PEFA 2019 Ethiopia.pdf
Fiji,2025,Fiji 2025 (Agile),Final,Public,5367,https://www.pefa.org/node/5367,PEFA 2025 Fiji.pdf
French Polynesia,2022,French Polynesia 2022,Final,Public,5053,https://www.pefa.org/node/5053,PEFA 2022 French Polynesia.pdf
Gabon,2017,Gabon 2017,Final,Public,696,https://www.pefa.org/node/696,PEFA 2017 Gabon.pdf
Georgia,2022,Georgia 2022,Final,Public,5197,https://www.pefa.org/node/5197,PEFA 2022 Georgia.pdf
Ghana,2018,Ghana 2018,Final,Public,351,https://www.pefa.org/node/351,PEFA 2018 Ghana.pdf
Greenland,2021,Greenland 2021 AGILE REPORT,Final,Public,5035,https://www.pefa.org/node/5035,PEFA 2021 Greenland.pdf
Grenada,2015,Grenada 2015,Final,Non-public,231,https://www.pefa.org/node/231,PEFA 2015 Grenada.pdf
Guatemala,2018,Guatemala 2018,Final,Public,616,https://www.pefa.org/node/616,PEFA 2018 Guatemala.pdf
Guinea,2026,Guinea 2026,Final,Non-public,5358,https://www.pefa.org/node/5358,PEFA 2026 Guinea.pdf
Guinea-Bissau,2014,Guinea-Bissau 2014,Final,Public,1216,https://www.pefa.org/node/1216,PEFA 2014 Guinea-Bissau.pdf
Guyana,2019,Guyana 2019,Final,Non-public,191,https://www.pefa.org/node/191,PEFA 2019 Guyana.pdf
Haiti,2012,Haiti 2012,Final,Public,1811,https://www.pefa.org/node/1811,PEFA 2012 Haiti.pdf
Honduras,2024,Honduras 2023,Final,Non-public,5283,https://www.pefa.org/node/5283,PEFA 2024 Honduras.pdf
India,2010,India 2010,Final,Public,2826,https://www.pefa.org/node/2826,PEFA 2010 India.pdf
Indonesia,2018,Indonesia 2018,Final,Public,546,https://www.pefa.org/node/546,PEFA 2018 Indonesia.pdf
Iraq,2017,Iraq 2017,Final,Public,466,https://www.pefa.org/node/466,PEFA 2017 Iraq.pdf
Jamaica,2024,Jamaica 2024,Final,Public,5263,https://www.pefa.org/node/5263,PEFA 2024 Jamaica.pdf
Jordan,2026,Jordan 2026,Draft,Non-public,5501,https://www.pefa.org/node/5501,PEFA 2026 Jordan.pdf
Kazakhstan,2025,Kazakhstan 2025,Final,Public,5405,https://www.pefa.org/node/5405,PEFA 2025 Kazakhstan.pdf
Kenya,2023,Kenya 2023,Final,Public,5187,https://www.pefa.org/node/5187,PEFA 2023 Kenya.pdf
Kiribati,2009,Kiribati 2009,Draft,Non-public,2081,https://www.pefa.org/node/2081,PEFA 2009 Kiribati.pdf
Kosovo,2022,Kosovo 2022,Final,Public,5026,https://www.pefa.org/node/5026,PEFA 2022 Kosovo.pdf
Kuwait,2010,Kuwait 2010,Final,Public,2141,https://www.pefa.org/node/2141,PEFA 2010 Kuwait.pdf
Kyrgyz Republic,2021,Kyrgyz Republic 2021,Final,Public,181,https://www.pefa.org/node/181,PEFA 2021 Kyrgyz Republic.pdf
Lao PDR,2025,Lao PDR 2023,Final,Public,5424,https://www.pefa.org/node/5424,PEFA 2025 Lao PDR.pdf
Lebanon,2011,Lebanon 2011,Final,Non-public,2136,https://www.pefa.org/node/2136,PEFA 2011 Lebanon.pdf
Lesotho,2025,Lesotho 2024,Final,Public,5506,https://www.pefa.org/node/5506,PEFA 2025 Lesotho.pdf
Liberia,2021,Liberia 2021,Final,Public,4101,https://www.pefa.org/node/4101,PEFA 2021 Liberia.pdf
Madagascar,2026,Madagascar 2025,Draft,Non-public,5511,https://www.pefa.org/node/5511,PEFA 2026 Madagascar.pdf
Malawi,2018,Malawi 2018,Final,Public,246,https://www.pefa.org/node/246,PEFA 2018 Malawi.pdf
Maldives,2021,Maldives 2021,Final,Public,4341,https://www.pefa.org/node/4341,PEFA 2021 Maldives.pdf
Mali,2021,Mali 2021,Final,Public,4502,https://www.pefa.org/node/4502,PEFA 2021 Mali.pdf
Marshall Islands,2012,Marshall Islands 2012,Final,Public,1761,https://www.pefa.org/node/1761,PEFA 2012 Marshall Islands.pdf
Mauritania,2020,Mauritania 2020,Final,Public,3666,https://www.pefa.org/node/3666,PEFA 2020 Mauritania.pdf
Mauritius,2015,Mauritius 2015,Final,Public,1036,https://www.pefa.org/node/1036,PEFA 2015 Mauritius.pdf
Mayotte,2008,Mayotte 2008,Final,Non-public,2251,https://www.pefa.org/node/2251,PEFA 2008 Mayotte.pdf
Micronesia,2013,Micronesia 2013,Final,Non-public,1766,https://www.pefa.org/node/1766,PEFA 2013 Micronesia.pdf
Moldova,2022,Moldova 2022,Final,Public,4990,https://www.pefa.org/node/4990,PEFA 2022 Moldova.pdf
Mongolia,2021,Mongolia 2021 AGILE REPORT,Final,Public,5006,https://www.pefa.org/node/5006,PEFA 2021 Mongolia.pdf
Montenegro,2019,Montenegro 2019,Final,Public,211,https://www.pefa.org/node/211,PEFA 2019 Montenegro.pdf
Montseratt,2014,Montseratt 2014,Final,Non-public,1051,https://www.pefa.org/node/1051,PEFA 2014 Montseratt.pdf
Morocco,2024,Morocco 2024 AGILE REPORT,Final,Public,5143,https://www.pefa.org/node/5143,PEFA 2024 Morocco.pdf
Mozambique,2021,Mozambique 2021,Final,Public,4216,https://www.pefa.org/node/4216,PEFA 2021 Mozambique.pdf
Myanmar,2020,Myanmar 2020,Final,Public,3646,https://www.pefa.org/node/3646,PEFA 2020 Myanmar.pdf
Namibia,2015,Namibia 2015,Final,Non-public,1281,https://www.pefa.org/node/1281,PEFA 2015 Namibia.pdf
Nauru,2022,Nauru 2022 AGILE REPORT,Final,Public,5122,https://www.pefa.org/node/5122,PEFA 2022 Nauru.pdf
Nepal,2024,Nepal 2024,Final,Public,5030,https://www.pefa.org/node/5030,PEFA 2024 Nepal.pdf
New Caledonia,2019,New Caledonia 2019,Final,Public,201,https://www.pefa.org/node/201,PEFA 2019 New Caledonia.pdf
Nicaragua,2015,Nicaragua 2015,Final,Public,1261,https://www.pefa.org/node/1261,PEFA 2015 Nicaragua.pdf
Niger,2023,Niger 2023,Final,Public,5141,https://www.pefa.org/node/5141,PEFA 2023 Niger.pdf
Nigeria,2019,Nigeria 2019,Final,Public,166,https://www.pefa.org/node/166,PEFA 2019 Nigeria.pdf
Niue,2021,Niue 2021,Final,Public,5034,https://www.pefa.org/node/5034,PEFA 2021 Niue.pdf
North Macedonia,2022,North Macedonia 2022,Final,Public,5117,https://www.pefa.org/node/5117,PEFA 2022 North Macedonia.pdf
Norway,2008,Norway 2008,Final,Public,2816,https://www.pefa.org/node/2816,PEFA 2008 Norway.pdf
Oman,2013,Oman 2013,Final,Non-public,1371,https://www.pefa.org/node/1371,PEFA 2013 Oman.pdf
Pakistan,2020,Pakistan 2020,Final,Non-public,471,https://www.pefa.org/node/471,PEFA 2020 Pakistan.pdf
Palau,2023,Palau 2023 AGILE REPORT,Final,Public,5177,https://www.pefa.org/node/5177,PEFA 2023 Palau.pdf
Panama,2013,Panama 2013,Final,Public,1396,https://www.pefa.org/node/1396,PEFA 2013 Panama.pdf
Papua New Guinea,2020,Papua New Guinea 2020,Final,Non-public,3661,https://www.pefa.org/node/3661,PEFA 2020 Papua New Guinea.pdf
Paraguay,2023,Paraguay 2023,Final,Public,5221,https://www.pefa.org/node/5221,PEFA 2023 Paraguay.pdf
Peru,2015,Peru 2015,Draft,Non-public,1631,https://www.pefa.org/node/1631,PEFA 2015 Peru.pdf
Philippines,2025,Philippines 2025,Final,Public,5360,https://www.pefa.org/node/5360,PEFA 2025 Philippines.pdf
Republic of Congo,2022,Congo Republic 2022 AGILE REPORT,Final,Non-public,5119,https://www.pefa.org/node/5119,PEFA 2022 Republic of Congo.pdf
Russia,2007,Russia 2007,Draft,Non-public,2066,https://www.pefa.org/node/2066,PEFA 2007 Russia.pdf
Rwanda,2022,Rwanda 2022,Final,Public,5061,https://www.pefa.org/node/5061,PEFA 2022 Rwanda.pdf
Samoa,2018,Samoa 2018,Final,Non-public,236,https://www.pefa.org/node/236,PEFA 2018 Samoa.pdf
Sao Tome and Principe,2019,Sao Tome and Principe 2019,Final,Public,3856,https://www.pefa.org/node/3856,PEFA 2019 Sao Tome and Principe.pdf
Senegal,2020,Senegal 2020,Final,Public,416,https://www.pefa.org/node/416,PEFA 2020 Senegal.pdf
Serbia,2026,Serbia 2026,Draft,Non-public,5425,https://www.pefa.org/node/5425,PEFA 2026 Serbia.pdf
Seychelles,2025,Seychelles 2025,Draft,Non-public,5391,https://www.pefa.org/node/5391,PEFA 2025 Seychelles.pdf
Sierra Leone,2022,Sierra Leone 2022,Final,Public,5185,https://www.pefa.org/node/5185,PEFA 2022 Sierra Leone.pdf
